"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2004",120,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2004",174.426,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2004",76.185,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2003",110,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2003",166.078,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2003",63.485,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2002",100,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2002",150.142,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2002",48.147,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2001",85,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2001",127.445,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2001",38.907,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2000",75,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2000",118.032,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2000",35.323,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","1999",67,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","1999",106.955,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","1999",36.485,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2024",500000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2024",960.368,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2024",529.901,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2023",410000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2023",841.402,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2023",488.057,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2022",400000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2022",809.576,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2022",458.025,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2021",337000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2021",700.433,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2021",444.031,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2020",320500,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2020",688.705,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2020",404.3,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2019",301000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2019",666.992,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2019",428.228,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2018",288000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2018",628.392,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2018",449.104,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2017",270000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2017",582.862,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2017",416.131,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2016",257500,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2016",568.53,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2016",380.378,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2015",241000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2015",538.831,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2015",368.432,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2014",225000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2014",547.884,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2014",394.496,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2013",210000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2013",538.239,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2013",424.009,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2012",193000,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
"Chile","OIT - SIALC Estimaciones","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2012",492.885,"Tipo de salario mínimo: Para adultos | Moneda: CHL - Peso chileno (CLP)",
